OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SCENE ROLE,FUNCTION
# text = Ich rieb mir die Augen und schaute genau hin .,,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,rieb,rieb,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mir,mir,PPER,PPER,_,2,iobj,_,_,_,_,PRON_DAT,Whole,Recipient
4,die,die,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Augen,augen,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
6,und,und,KON,KON,_,2,cc,_,_,_,_,_,_,_
7,schaute,schaute,VVFIN,VVFIN,_,2,conj,_,_,_,_,_,_,_
8,genau,genau,ADJD,ADJD,_,7,advmod,_,_,_,_,_,_,_
9,hin,hin,PTKVZ,PTKVZ,_,7,mark,_,_,_,_,_,_,_
10,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Und ich sah ein außergewöhnliches , kleines Kerlchen , das mich ernst betrachtete .",,,,,,,,,,,,,,
1,Und,und,KON,KON,_,3,cc,_,_,_,_,_,_,_
2,ich,ich,PPER,PPER,_,3,nsubj,_,_,_,_,_,_,_
3,sah,sah,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
4,ein,ein,ART,ART,_,5,det,_,_,_,_,_,_,_
5-1,außer,außergewöhnliches,ADJA,ADJA,_,3,dobj,_,_,_,_,_,_,_
5-2,gewöhnliches,außergewöhnliches,ADJA,ADJA,_,3,dobj,_,_,_,_,_,_,_
6,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
7,kleines,kleines,ADJA,ADJA,_,8,amod,_,_,_,_,_,_,_
8,Kerlchen,kerlchen,NOUN,NN,Number=Sing,5,conj,_,_,_,_,_,_,_
9,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
10,das,das,PRELS,PRELS,_,13,nsubj,_,_,_,_,_,_,_
11,mich,mich,PRF,PRF,_,13,dobj,_,_,_,_,_,_,_
12,ernst,ernst,ADJD,ADJD,_,13,name,_,_,_,_,_,_,_
13,betrachtete,betrachtete,VVFIN,VVFIN,_,5,acl,_,_,_,_,_,_,_
14,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Hier das beste Porträt , das ich später von ihm zu Stande brachte .",,,,,,,,,,,,,,
1,Hier,hier,ADV,ADV,_,4,advmod,_,_,_,_,_,_,_
2,das,das,ART,ART,_,4,det,_,_,_,_,_,_,_
3,beste,beste,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,Porträt,porträt,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,das,das,PRELS,PRELS,_,13,dobj,_,_,_,_,_,_,_
7,ich,ich,PPER,PPER,_,13,nsubj,_,_,_,_,_,_,_
8,später,später,ADJD,ADJD,_,13,advmod,_,_,_,_,_,_,_
9,von,von,APPR,APPR,_,10,case,_,_,_,_,von,Topic,Source
10,ihm,ihm,PPER,PPER,_,13,nmod,_,_,_,_,_,_,_
11,zu,zu,APPR,APPR,_,12,case,_,_,_,_,zu,,
12,Stande,stande,NOUN,NN,Number=Sing,13,nmod,_,_,_,_,_,_,_
13,brachte,brachte,VVFIN,VVFIN,_,4,acl,_,_,_,_,_,_,_
14,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Aber natürlich ist meine Zeichnung weit weniger bezaubernd als das Original .,,,,,,,,,,,,,,
1,Aber,aber,KON,KON,_,8,cc,_,_,_,_,_,_,_
2,natürlich,natürlich,ADV,ADV,_,8,advmod,_,_,_,_,_,_,_
3,ist,ist,VAFIN,VAFIN,_,8,cop,_,_,_,_,_,_,_
4,meine,meine,PPOSAT,PPOSAT,_,5,det,_,_,_,_,PRON_POSS,Originator,Gestalt
5,Zeichnung,zeichnung,NOUN,NN,Number=Sing,8,nsubj,_,_,_,_,_,_,_
6,weit,weit,ADJD,ADJD,_,7,advmod,_,_,_,_,_,_,_
7,weniger,weniger,ADV,ADV,_,8,advmod,_,_,_,_,_,_,_
8,bezaubernd,bezaubernd,ADJD,ADJD,_,0,root,_,_,_,_,_,_,_
9,als,als,KOKOM,KOKOM,_,11,case,_,_,_,_,als,ComparisonRef,ComparisonRef
10,das,das,ART,ART,_,11,det,_,_,_,_,_,_,_
11,Original,original,NOUN,NN,Number=Sing,8,nmod,_,_,_,_,_,_,_
12,.,.,$.,$.,_,8,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Das ist nicht meine Schuld .,,,,,,,,,,,,,,
1,Das,das,PDS,PDS,_,5,nsubj,_,_,_,_,_,_,_
2,ist,ist,VAFIN,VAFIN,_,5,cop,_,_,_,_,_,_,_
3,nicht,nicht,PTKNEG,PTKNEG,_,5,neg,_,_,_,_,_,_,_
4,meine,meine,PPOSAT,PPOSAT,_,5,det,_,_,_,_,PRON_POSS,Gestalt,Gestalt
5,Schuld,schuld,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
6,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = Dabei schien mir das kleine Kerlchen weder verirrt , noch todmüde , weder hungrig oder durstig , noch todängstlich .",,,,,,,,,,,,,,
1,Dabei,dabei,PROAV,PROAV,_,2,advmod,_,_,_,_,bei,Circumstance,Locus
2,schien,schien,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mir,mir,PPER,PPER,_,2,iobj,_,_,_,_,PRON_DAT,Experiencer,Recipient
4,das,das,ART,ART,_,6,det,_,_,_,_,_,_,_
5,kleine,kleine,ADJA,ADJA,_,6,amod,_,_,_,_,_,_,_
6,Kerlchen,kerlchen,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
7,weder,weder,KON,KON,_,8,cc,_,_,_,_,_,_,_
8,verirrt,verirrt,ADJD,ADJD,_,2,advmod,_,_,_,_,_,_,_
9,",",",","$,","$,",_,8,punct,_,_,_,_,_,_,_
10,noch,noch,ADV,ADV,_,8,cc,_,_,_,_,_,_,_
11,todmüde,todmüde,ADJD,ADJD,_,8,conj,_,_,_,_,_,_,_
12,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
13,weder,weder,KON,KON,_,14,cc,_,_,_,_,_,_,_
14,hungrig,hungrig,ADJD,ADJD,_,2,appos,_,_,_,_,_,_,_
15,oder,oder,KON,KON,_,14,cc,_,_,_,_,_,_,_
16,durstig,durstig,ADJD,ADJD,_,14,conj,_,_,_,_,_,_,_
17,",",",","$,","$,",_,14,punct,_,_,_,_,_,_,_
18,noch,noch,ADV,ADV,_,19,advmod,_,_,_,_,_,_,_
19,todängstlich,todängstlich,ADJD,ADJD,_,14,conj,_,_,_,_,_,_,_
20,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Es wirkte ganz und gar nicht wie ein Kind , verloren inmitten der Wüste , tausend Meilen entfernt von jeglicher Zivilisation .",,,,,,,,,,,,,,
1,Es,es,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,wirkte,wirkte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,ganz,ganz,ADV,ADV,_,17,amod,_,_,_,_,_,_,_
4,und,und,KON,KON,_,3,cc,_,_,_,_,_,_,_
5,gar,gar,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
6,nicht,nicht,PTKNEG,PTKNEG,_,3,conj,_,_,_,_,_,_,_
7,wie,wie,KOKOM,KOKOM,_,9,case,_,_,_,_,wie,ComparisonRef,ComparisonRef
8,ein,ein,ART,ART,_,9,det,_,_,_,_,_,_,_
9,Kind,kind,NOUN,NN,Number=Sing,6,nmod,_,_,_,_,_,_,_
10,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
11,verloren,verloren,VVFIN,VVFIN,_,3,conj,_,_,_,_,_,_,_
12,inmitten,inmitten,APPR,APPR,_,14,case,_,_,_,_,inmitten,Locus,Locus
13,der,der,ART,ART,_,14,det,_,_,_,_,_,_,_
14,Wüste,wüste,NOUN,NN,Number=Sing,11,nmod,_,_,_,_,_,_,_
15,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
16,tausend,tausend,CARD,CARD,_,3,conj,_,_,_,_,_,_,_
17,Meilen,meilen,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
18,entfernt,entfernt,ADJD,ADJD,_,2,advmod,_,_,_,_,_,_,_
19,von,von,APPR,APPR,_,21,case,_,_,_,_,von,Locus,Source
20,jeglicher,jeglicher,PIDAT,PIDAT,_,21,amod,_,_,_,_,_,_,_
21,Zivilisation,zivilisation,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
22,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = So absurd es mir erschien , holte ich tausend Meilen entfernt von jeder Zivilisation meinen Farbstift hervor , ein Blatt Papier und einen Füller .",,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,absurd,absurd,ADJD,ADJD,_,0,root,_,_,_,_,_,_,_
3,es,es,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,mir,mir,PPER,PPER,_,2,iobj,_,_,_,_,PRON_DAT,Experiencer,Recipient
5,erschien,erschien,VVFIN,VVFIN,_,2,xcomp,_,_,_,_,_,_,_
6,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
7,holte,holte,VVFIN,VVFIN,_,11,cop,_,_,_,_,_,_,_
8,ich,ich,PPER,PPER,_,11,nsubj,_,_,_,_,_,_,_
9,tausend,tausend,CARD,CARD,_,10,amod,_,_,_,_,_,_,_
10,Meilen,meilen,NOUN,NN,Number=Sing,11,nmod,_,_,_,_,_,_,_
11,entfernt,entfernt,ADJD,ADJD,_,2,conj,_,_,_,_,_,_,_
12,von,von,APPR,APPR,_,14,case,_,_,_,_,von,Locus,Source
13,jeder,jeder,PIDAT,PIDAT,_,14,det,_,_,_,_,_,_,_
14,Zivilisation,zivilisation,NOUN,NN,Number=Sing,17,nmod,_,_,_,_,_,_,_
15,meinen,meinen,PPOSAT,PPOSAT,_,16,det,_,_,_,_,PRON_POSS,Possessor,Possessor
16,Farbstift,farbstift,NOUN,NN,Number=Sing,17,dobj,_,_,_,_,_,_,_
17,hervor,hervor,PTKVZ,PTKVZ,_,11,xcomp,_,_,_,_,_,_,_
18,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
19,ein,ein,ART,ART,_,20,det,_,_,_,_,_,_,_
20,Blatt,blatt,NOUN,NN,Number=Sing,2,conj,_,_,_,_,_,_,_
21,Papier,papier,NOUN,NN,Number=Sing,20,appos,_,_,_,_,_,_,_
22,und,und,KON,KON,_,21,cc,_,_,_,_,_,_,_
23,einen,einen,ART,ART,_,24,det,_,_,_,_,_,_,_
24,Füller,füller,NOUN,NN,Number=Sing,21,conj,_,_,_,_,_,_,_
25,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ich erinnerte mich daran , dass ich vor allem Geographie , Geschichte , Mathematik und Grammatik erlernt hatte und so sagte ich schlecht gelaunt zu dem kleinen Männchen , dass ich nicht zeichnen könne .",,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,erinnerte,erinnerte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mich,mich,PRF,PRF,_,2,dobj,_,_,_,_,_,_,_
4,daran,daran,PROAV,PROAV,_,2,advmod,_,_,_,_,an,Theme,Goal
5,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
6,dass,dass,KOUS,KOUS,_,17,mark,_,_,_,_,_,_,_
7,ich,ich,PPER,PPER,_,17,nsubj,_,_,_,_,_,_,_
8,vor,vor,APPR,APPR,_,9,case,_,_,_,_,vor,ComparisonRef,Locus
9,allem,allem,PIS,PIS,_,17,nmod,_,_,_,_,_,_,_
10,Geographie,geographie,NOUN,NN,Number=Sing,17,dobj,_,_,_,_,_,_,_
11,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
12,Geschichte,geschichte,NOUN,NN,Number=Sing,10,conj,_,_,_,_,_,_,_
13,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
14,Mathematik,mathematik,NOUN,NN,Number=Sing,10,conj,_,_,_,_,_,_,_
15,und,und,KON,KON,_,10,cc,_,_,_,_,_,_,_
16,Grammatik,grammatik,NOUN,NN,Number=Sing,10,conj,_,_,_,_,_,_,_
17,erlernt,erlernt,VVPP,VVPP,_,2,ccomp,_,_,_,_,_,_,_
18,hatte,hatte,VAFIN,VAFIN,_,17,aux,_,_,_,_,_,_,_
19,und,und,KON,KON,_,17,cc,_,_,_,_,_,_,_
20,so,so,ADV,ADV,_,21,advmod,_,_,_,_,_,_,_
21,sagte,sagte,VVFIN,VVFIN,_,17,conj,_,_,_,_,_,_,_
22,ich,ich,PPER,PPER,_,21,nsubj,_,_,_,_,_,_,_
23,schlecht,schlecht,ADJD,ADJD,_,24,advmod,_,_,_,_,_,_,_
24,gelaunt,gelaunt,ADJD,ADJD,_,21,xcomp,_,_,_,_,_,_,_
25,zu,zu,APPR,APPR,_,28,case,_,_,_,_,zu,Recipient,Recipient
26,dem,dem,ART,ART,_,28,det,_,_,_,_,_,_,_
27,kleinen,kleinen,ADJA,ADJA,_,28,amod,_,_,_,_,_,_,_
28,Männchen,männchen,NOUN,NN,Number=Sing,24,nmod,_,_,_,_,_,_,_
29,",",",","$,","$,",_,21,punct,_,_,_,_,_,_,_
30,dass,dass,KOUS,KOUS,_,33,mark,_,_,_,_,_,_,_
31,ich,ich,PPER,PPER,_,33,nsubj,_,_,_,_,_,_,_
32,nicht,nicht,PTKNEG,PTKNEG,_,33,neg,_,_,_,_,_,_,_
33,zeichnen,zeichnen,VVINF,VVINF,_,21,ccomp,_,_,_,_,_,_,_
34,könne,könne,VMFIN,VMFIN,_,33,aux,_,_,_,_,_,_,_
35,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = Weil ich niemals ein Schaf gezeichnet hatte , malte ich einfach eines der zwei Bilder , die ich beherrschte .",,,,,,,,,,,,,,
1,Weil,weil,KOUS,KOUS,_,7,mark,_,_,_,_,_,_,_
2,ich,ich,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
3,niemals,niemals,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
4,ein,ein,ART,ART,_,6,det,_,_,_,_,_,_,_
5,Schaf,schaf,NOUN,NN,Number=Sing,6,amod,_,_,_,_,_,_,_
6,gezeichnet,gezeichnet,VVPP,VVPP,_,7,dobj,_,_,_,_,_,_,_
7,hatte,hatte,VAFIN,VAFIN,_,9,advcl,_,_,_,_,_,_,_
8,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
9,malte,malte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
10,ich,ich,PPER,PPER,_,9,nsubj,_,_,_,_,_,_,_
11,einfach,einfach,ADV,ADV,_,9,advmod,_,_,_,_,_,_,_
12,eines,eines,PIS,PIS,_,9,dobj,_,_,_,_,_,_,_
13,der,der,ART,ART,_,15,det,_,_,_,_,_,_,_
14,zwei,zwei,CARD,CARD,_,15,nummod,_,_,_,_,_,_,_
15,Bilder,bilder,NOUN,NN,Number=Sing,12,det,_,_,_,_,_,_,_
16,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
17,die,die,ART,ART,_,19,dobj,_,_,_,_,_,_,_
18,ich,ich,PPER,PPER,_,19,nsubj,_,_,_,_,_,_,_
19,beherrschte,beherrschte,ADJA,ADJA,_,9,acl,_,_,_,_,_,_,_
20,.,.,$.,$.,_,9,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Jenes von der geschlossenen Riesenschlange .,,,,,,,,,,,,,,
1,Jenes,jenes,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,von,von,APPR,APPR,_,5,case,_,_,_,_,von,Topic,Source
3,der,der,ART,ART,_,5,det,_,_,_,_,_,_,_
4,geschlossenen,geschlossenen,ADJA,ADJA,_,5,amod,_,_,_,_,_,_,_
5,Riesenschlange,riesenschlange,NOUN,NN,Number=Sing,1,nmod,_,_,_,_,_,_,_
6,.,.,$.,$.,_,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Und ich war verblüfft als der kleine Kerl mir antwortete : - `` Nein !,,,,,,,,,,,,,,
1,Und,und,KON,KON,_,4,cc,_,_,_,_,_,_,_
2,ich,ich,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
3,war,war,VAFIN,VAFIN,_,4,cop,_,_,_,_,_,_,_
4,verblüfft,verblüfft,ADV,ADV,_,0,root,_,_,_,_,_,_,_
5,als,als,KOKOM,KOKOM,_,8,case,_,_,_,_,als,Time,Time
6,der,der,ART,ART,_,8,det,_,_,_,_,_,_,_
7,kleine,kleine,ADJA,ADJA,_,8,amod,_,_,_,_,_,_,_
8,Kerl,kerl,NOUN,NN,Number=Sing,10,nmod,_,_,_,_,_,_,_
9,mir,mir,PPER,PPER,_,10,iobj,_,_,_,_,PRON_DAT,Recipient,Recipient
10,antwortete,antwortete,VVFIN,VVFIN,_,4,ccomp,_,_,_,_,_,_,_
11,:,:,$.,$.,_,4,punct,_,_,_,_,_,_,_
12,-,-,$[,$[,_,4,punct,_,_,_,_,_,_,_
13,``,``,VVFIN,VVFIN,_,4,punct,_,_,_,_,_,_,_
14,Nein,nein,PTKANT,PTKANT,_,4,appos,_,_,_,_,_,_,_
15,!,!,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Nein !,,,,,,,,,,,,,,
1,Nein,nein,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,!,!,$.,$.,_,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Ich will keinen Elefanten in einer Riesenschlage .,,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,will,will,VMFIN,VMFIN,_,0,root,_,_,_,_,_,_,_
3,keinen,keinen,PIAT,PIAT,_,4,neg,_,_,_,_,_,_,_
4,Elefanten,elefanten,NOUN,NN,Number=Sing,2,root,_,_,_,_,_,_,_
5,in,in,APPR,APPR,_,7,case,_,_,_,_,in,Locus,Locus
6,einer,einer,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Riesenschlage,riesenschlage,NOUN,NN,Number=Sing,4,nmod,_,_,_,_,_,_,_
8,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# text = Zeichne mir ein Schaf . '',,,,,,,,,,,,,,
1,Zeichne,zeichne,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
2,mir,mir,PPER,PPER,_,1,iobj,_,_,_,_,PRON_DAT,Beneficiary,Recipient
3,ein,ein,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Schaf,schaf,NOUN,NN,Number=Sing,1,dobj,_,_,_,_,_,_,_
5,.,.,$.,$.,_,1,punct,_,_,_,_,_,_,_
6,'','',NOUN,NN,Number=Sing,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = So habe ich also gezeichnet .,,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
2,habe,habe,VAFIN,VAFIN,_,5,aux,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
4,also,also,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,gezeichnet,gezeichnet,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
6,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = Mein Freund lächelte lieb und sagte nachsichtig : - `` Siehst du ... das ist kein Schaf , das ist ein Hammel .",,,,,,,,,,,,,,
1,Mein,mein,PPOSAT,PPOSAT,_,2,det,_,_,_,_,PRON_POSS,SocialRel,Gestalt
2,Freund,freund,NOUN,NN,Number=Sing,3,nsubj,_,_,_,_,_,_,_
3,lächelte,lächelte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
4,lieb,lieb,ADV,ADV,_,3,dobj,_,_,_,_,_,_,_
5,und,und,KON,KON,_,3,cc,_,_,_,_,_,_,_
6,sagte,sagte,VVFIN,VVFIN,_,7,amod,_,_,_,_,_,_,_
7,nachsichtig,nachsichtig,ADJD,ADJD,_,3,conj,_,_,_,_,_,_,_
8,:,:,$.,$.,_,7,punct,_,_,_,_,_,_,_
9,-,-,$[,$[,_,11,punct,_,_,_,_,_,_,_
10,``,``,ADV,ADV,_,11,punct,_,_,_,_,_,_,_
11,Siehst,siehst,VVFIN,VVFIN,_,12,name,_,_,_,_,_,_,_
12,du,du,PPER,PPER,_,7,appos,_,_,_,_,_,_,_
13,...,...,$[,$[,_,12,punct,_,_,_,_,_,_,_
14,das,das,PDS,PDS,_,17,nsubj,_,_,_,_,_,_,_
15,ist,ist,VAFIN,VAFIN,_,17,cop,_,_,_,_,_,_,_
16,kein,kein,PIAT,PIAT,_,17,neg,_,_,_,_,_,_,_
17,Schaf,schaf,NOUN,NN,Number=Sing,12,parataxis,_,_,_,_,_,_,_
18,",",",","$,","$,",_,17,punct,_,_,_,_,_,_,_
19,das,das,PDS,PDS,_,22,nsubj,_,_,_,_,_,_,_
20,ist,ist,VAFIN,VAFIN,_,22,cop,_,_,_,_,_,_,_
21,ein,ein,ART,ART,_,22,det,_,_,_,_,_,_,_
22,Hammel,hammel,NOUN,NN,Number=Sing,17,conj,_,_,_,_,_,_,_
23,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = Da ich meinen Motor endlich auseinander bauen wollte , schluderte ich ungeduldig dieses Bild hin :",,,,,,,,,,,,,,
1,Da,da,KOUS,KOUS,_,7,mark,_,_,_,_,_,_,_
2,ich,ich,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
3,meinen,meinen,PPOSAT,PPOSAT,_,4,det,_,_,_,_,PRON_POSS,Possessor,Possessor
4,Motor,motor,NOUN,NN,Number=Sing,7,dobj,_,_,_,_,_,_,_
5,endlich,endlich,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
6,auseinander,auseinander,PTKVZ,PTKVZ,_,7,advmod,_,_,_,_,aus,Whole,Source
7,bauen,bauen,VVINF,VVINF,_,10,advcl,_,_,_,_,_,_,_
8,wollte,wollte,VMFIN,VMFIN,_,7,aux,_,_,_,_,_,_,_
9,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
10,schluderte,schluderte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
11,ich,ich,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
12,ungeduldig,ungeduldig,ADJD,ADJD,_,10,dobj,_,_,_,_,_,_,_
13,dieses,dieses,PDAT,PDAT,_,14,det,_,_,_,_,_,_,_
14,Bild,bild,NOUN,NN,Number=Sing,12,det,_,_,_,_,_,_,_
15,hin,hin,PTKVZ,PTKVZ,_,10,mark,_,_,_,_,_,_,_
16,:,:,$.,$.,_,10,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Und sagte : - `` Das hier ist eine Kiste .,,,,,,,,,,,,,,
1,Und,und,KON,KON,_,2,cc,_,_,_,_,_,_,_
2,sagte,sagte,VVFIN,VVFIN,_,10,compound,_,_,_,_,_,_,_
3,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
4,-,-,$[,$[,_,10,punct,_,_,_,_,_,_,_
5,``,``,VVPP,VVPP,_,10,punct,_,_,_,_,_,_,_
6,Das,das,PDS,PDS,_,10,nsubj,_,_,_,_,_,_,_
7,hier,hier,ADV,ADV,_,10,advmod,_,_,_,_,_,_,_
8,ist,ist,VAFIN,VAFIN,_,10,cop,_,_,_,_,_,_,_
9,eine,eine,ART,ART,_,10,det,_,_,_,_,_,_,_
10,Kiste,kiste,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
11,.,.,$.,$.,_,10,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Das Schaf ist da drin . '',,,,,,,,,,,,,,
1,Das,das,ART,ART,_,2,det,_,_,_,_,_,_,_
2,Schaf,schaf,NOUN,NN,Number=Sing,5,nsubj,_,_,_,_,_,_,_
3,ist,ist,VAFIN,VAFIN,_,5,cop,_,_,_,_,_,_,_
4,da,da,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,drin,drin,ADV,ADV,_,0,root,_,_,_,_,_,_,_
6,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
7,'','',VVPP,VVPP,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Aber ich war sehr überrascht , als ich sah , wie das Gesicht meines jungen Kritikers strahlte : - `` Genauso wollte ich es !",,,,,,,,,,,,,,
1,Aber,aber,KON,KON,_,5,cc,_,_,_,_,_,_,_
2,ich,ich,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
3,war,war,VAFIN,VAFIN,_,5,cop,_,_,_,_,_,_,_
4,sehr,sehr,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,überrascht,überrascht,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
6,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
7,als,als,KOUS,KOUS,_,9,mark,_,_,_,_,als,Time,Time
8,ich,ich,PPER,PPER,_,9,nsubj,_,_,_,_,_,_,_
9,sah,sah,VVFIN,VVFIN,_,5,advcl,_,_,_,_,_,_,_
10,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
11,wie,wie,PWAV,PWAV,_,13,case,_,_,_,_,wie,,ComparisonRef
12,das,das,ART,ART,_,13,det,_,_,_,_,_,_,_
13,Gesicht,gesicht,NOUN,NN,Number=Sing,17,nmod,_,_,_,_,_,_,_
14,meines,meines,PPOSAT,PPOSAT,_,16,det,_,_,_,_,PRON_POSS,,Gestalt
15,jungen,jungen,ADJA,ADJA,_,16,amod,_,_,_,_,_,_,_
16,Kritikers,kritikers,NOUN,NN,Number=Sing,17,nsubj,_,_,_,_,_,_,_
17,strahlte,strahlte,VVFIN,VVFIN,_,5,ccomp,_,_,_,_,_,_,_
18,:,:,$.,$.,_,5,punct,_,_,_,_,_,_,_
19,-,-,$[,$[,_,21,punct,_,_,_,_,_,_,_
20,``,``,ADV,ADV,_,21,punct,_,_,_,_,_,_,_
21,Genauso,genauso,ADV,ADV,_,5,parataxis,_,_,_,_,_,_,_
22,wollte,wollte,VMFIN,VMFIN,_,21,punct,_,_,_,_,_,_,_
23,ich,ich,PPER,PPER,_,22,root,_,_,_,_,_,_,_
24,es,es,PPER,PPER,_,23,appos,_,_,_,_,_,_,_
25,!,!,$.,$.,_,24,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# text = Kapitel III,,,,,,,,,,,,,,
1,Kapitel,kapitel,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,III,iii,CARD,CARD,_,1,appos,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ich brauchte lange , um zu verstehen , woher er kam .",,,,,,,,,,,,,,
