OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SS,SS2
19,machen,machen,VVINF,VVINF,_,2,conj,_,_,_,_,_,_,_
20,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Wenn Eure Majestät sich wünscht , man möge zu der rechten Zeit gehorchen , so könnten Sie mir einen vernünftigen Befehl geben .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,7,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,7,aux,_,_,_,_,_,_,_
3,Wenn,wenn,KOUS,KOUS,_,7,mark,_,_,_,_,_,_,_
4,Eure,eure,NE,NE,_,7,advmod,_,_,_,_,_,_,_
5,Majestät,majestät,NOUN,NN,Number=Sing,7,nsubj,_,_,_,_,_,_,_
6,sich,sich,PRF,PRF,_,7,dobj,_,_,_,_,_,_,_
7,wünscht,wünscht,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
8,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
9,man,man,PIS,PIS,_,10,nsubj,_,_,_,_,_,_,_
10,möge,möge,VMFIN,VMFIN,_,7,parataxis,_,_,_,_,_,_,_
11,zu,zu,APPR,APPR,_,14,case,_,_,_,_,zu,p.Time,p.Time
12,der,der,ART,ART,_,14,det,_,_,_,_,_,_,_
13,rechten,rechten,ADJA,ADJA,_,14,amod,_,_,_,_,_,_,_
14,Zeit,zeit,NOUN,NN,Number=Sing,15,nmod,_,_,_,_,_,_,_
15,gehorchen,gehorchen,VVINF,VVINF,_,10,xcomp,_,_,_,_,_,_,_
16,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
17,so,so,ADV,ADV,_,24,advmod,_,_,_,_,_,_,_
18,könnten,könnten,VMFIN,VMFIN,_,24,aux,_,_,_,_,_,_,_
19,Sie,sie,PPER,PPER,_,24,nsubj,_,_,_,_,_,_,_
20,mir,mir,PPER,PPER,_,24,iobj,_,_,_,_,mir,p.Recipient,p.Gestalt
21,einen,einen,ART,ART,_,23,det,_,_,_,_,_,_,_
22,vernünftigen,vernünftigen,ADJA,ADJA,_,23,amod,_,_,_,_,_,_,_
23,Befehl,befehl,NOUN,NN,Number=Sing,24,dobj,_,_,_,_,_,_,_
24,geben,geben,VVINF,VVINF,_,10,conj,_,_,_,_,_,_,_
25,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Sie könnte zu dem Beispiel befehlen , ich solle innerhalb von einer Minute verschwinden .",,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,6,nsubj,_,_,_,_,_,_,_
2,könnte,könnte,VMFIN,VMFIN,_,6,aux,_,_,_,_,_,_,_
3,zu,zu,APPR,APPR,_,5,case,_,_,_,_,zu,p.Goal,p.Goal
4,dem,dem,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Beispiel,beispiel,NOUN,NN,Number=Sing,6,nmod,_,_,_,_,_,_,_
6,befehlen,befehlen,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
7,",",",","$,","$,",_,6,punct,_,_,_,_,_,_,_
8,ich,ich,PPER,PPER,_,14,nsubj,_,_,_,_,_,_,_
9,solle,solle,VMFIN,VMFIN,_,14,aux,_,_,_,_,_,_,_
10,innerhalb,innerhalb,APPR,APPR,_,14,advmod,_,_,1:1,_,innerhalb von,p.Interval,p.Interval
11,von,von,APPR,APPR,_,13,case,_,_,1:2,_,_,_,_
12,einer,einer,ART,ART,_,13,det,_,_,_,_,_,_,_
13,Minute,minute,NOUN,NN,Number=Sing,10,nmod,_,_,_,_,_,_,_
14,verschwinden,verschwinden,VVINF,VVINF,_,6,ccomp,_,_,_,_,_,_,_
15,.,.,$.,$.,_,6,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Mir scheint , die Umstände sind günstig ... ''",,,,,,,,,,,,,,
1,Mir,mir,PPER,PPER,_,2,nsubj,_,_,_,_,mir,p.Experiencer,p.Beneficiary
2,scheint,scheint,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
4,die,die,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Umstände,umstände,NOUN,NN,Number=Sing,7,nsubj,_,_,_,_,_,_,_
6,sind,sind,VAFIN,VAFIN,_,7,cop,_,_,_,_,_,_,_
7,günstig,günstig,ADJD,ADJD,_,2,ccomp,_,_,_,_,_,_,_
8,...,...,$[,$[,_,7,punct,_,_,_,_,_,_,_
9,'','',VVPP,VVPP,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Weil der König nichts erwiderte , zögerte der kleine Prinz zunächst , aber dann brach er seufzend auf .",,,,,,,,,,,,,,
1,Weil,weil,KOUS,KOUS,_,5,mark,_,_,_,_,_,_,_
2,der,der,ART,ART,_,3,det,_,_,_,_,_,_,_
3,König,könig,NOUN,NN,Number=Sing,5,iobj,_,_,_,_,_,_,_
4,nichts,nichts,PIS,PIS,_,5,nsubj,_,_,_,_,_,_,_
5,erwiderte,erwiderte,VVFIN,VVFIN,_,7,advcl,_,_,_,_,_,_,_
6,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
7,zögerte,zögerte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
8,der,der,ART,ART,_,10,det,_,_,_,_,_,_,_
9,kleine,kleine,ADJA,ADJA,_,10,amod,_,_,_,_,_,_,_
10,Prinz,prinz,NOUN,NN,Number=Sing,7,nsubj,_,_,_,_,_,_,_
11,zunächst,zunächst,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
12,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
13,aber,aber,ADV,ADV,_,7,cc,_,_,_,_,_,_,_
14,dann,dann,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
15,brach,brach,VVFIN,VVFIN,_,7,conj,_,_,_,_,_,_,_
16,er,er,PPER,PPER,_,15,nsubj,_,_,_,_,_,_,_
17,seufzend,seufzend,ADJD,ADJD,_,15,dobj,_,_,_,_,_,_,_
18,auf,auf,PTKVZ,PTKVZ,_,15,mark,_,_,_,_,auf,p.Direction,p.Direction
19,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Ich mache dich zu meinem Botschafter '' , rief der König ihm eilig hinterher . Er legte große Autorität an den Tag .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,4,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,4,punct,_,_,_,_,_,_,_
3,Ich,ich,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
4,mache,mache,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
5,dich,dich,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
6,zu,zu,APPR,APPR,_,8,case,_,_,_,_,zu,p.Goal,p.Goal
7,meinem,meinem,PPOSAT,PPOSAT,_,8,det,_,_,_,_,_,_,_
8,Botschafter,botschafter,NOUN,NN,Number=Sing,5,nmod,_,_,_,_,_,_,_
9,'','',VVIZU,VVIZU,_,8,punct,_,_,_,_,_,_,_
10,",",",","$,","$,",_,8,punct,_,_,_,_,_,_,_
11,rief,rief,VVFIN,VVFIN,_,15,advmod,_,_,_,_,_,_,_
12,der,der,ART,ART,_,13,det,_,_,_,_,_,_,_
13,König,könig,NOUN,NN,Number=Sing,15,nsubj,_,_,_,_,_,_,_
14,ihm,ihm,PPER,PPER,_,15,iobj,_,_,_,_,ihm,p.Beneficiary,p.Goal
15,eilig,eilig,ADJD,ADJD,_,8,acl,_,_,_,_,_,_,_
16,hinterher,hinterher,ADV,ADV,_,15,aux,_,_,_,_,_,_,_
17,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
18,Er,er,PPER,PPER,_,19,nsubj,_,_,_,_,_,_,_
19,legte,legte,VVFIN,VVFIN,_,4,ccomp,_,_,_,_,_,_,_
20,große,große,ADJA,ADJA,_,21,amod,_,_,_,_,_,_,_
21,Autorität,autorität,NOUN,NN,Number=Sing,19,dobj,_,_,_,_,_,_,_
22,an,a,APPR,APPR,_,24,case,_,_,_,_,an,p.Time,p.Time
23,den,den,ART,ART,_,24,det,_,_,_,_,_,_,_
24,Tag,tag,NOUN,NN,Number=Sing,19,nmod,_,_,_,_,_,_,_
25,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = - `` Die Erwachsenen sind doch wirklich sonderbar ! '',,,,,,,,,,,,,,
1,-,-,$[,$[,_,8,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,8,punct,_,_,_,_,_,_,_
3,Die,die,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Erwachsenen,erwachsenen,NOUN,NN,Number=Sing,8,nsubj,_,_,_,_,_,_,_
5,sind,sind,VAFIN,VAFIN,_,8,cop,_,_,_,_,_,_,_
6,doch,doch,ADV,ADV,_,8,advmod,_,_,_,_,_,_,_
7,wirklich,wirklich,ADJD,ADJD,_,8,advmod,_,_,_,_,_,_,_
8,sonderbar,sonderbar,ADJD,ADJD,_,0,root,_,_,_,_,_,_,_
9,!,!,$.,$.,_,8,punct,_,_,_,_,_,_,_
10,'','',ADV,ADV,_,8,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = , sagte sich der kleine Prinz auf seiner Reise .",,,,,,,,,,,,,,
1,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
2,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,sich,sich,PRF,PRF,_,2,dobj,_,_,_,_,_,_,_
4,der,der,ART,ART,_,6,det,_,_,_,_,_,_,_
5,kleine,kleine,ADJA,ADJA,_,6,amod,_,_,_,_,_,_,_
6,Prinz,prinz,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
7,auf,auf,APPR,APPR,_,9,case,_,_,_,_,_,p.Time,p.Locus
8,seiner,seiner,PPOSAT,PPOSAT,_,9,det,_,_,_,_,_,p.Theme,p.Gestalt
9,Reise,reise,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
10,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = ##,,,,,,,,,,,,,,
1,##,##,XY,XY,_,0,root,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Kapitel XI,,,,,,,,,,,,,,
1,Kapitel,kapitel,NE,NE,_,2,amod,_,_,_,_,_,_,_
2,XI,xi,NE,NE,_,0,root,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Der zweite Planet wurde von einem Eitlen bewohnt .,,,,,,,,,,,,,,
1,Der,der,ART,ART,_,3,det,_,_,_,_,_,_,_
2,zweite,zweite,ADJA,ADJA,_,3,amod,_,_,_,_,_,_,_
3,Planet,planet,NOUN,NN,Number=Sing,8,nsubjpass,_,_,_,_,_,_,_
4,wurde,wurde,VAFIN,VAFIN,_,8,auxpass,_,_,_,_,_,_,_
5,von,von,APPR,APPR,_,7,case,_,_,_,_,von,p.Agent,p.Agent
6,einem,einem,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Eitlen,eitlen,NOUN,NN,Number=Sing,8,nmod,_,_,_,_,_,_,_
8,bewohnt,bewohnt,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
9,.,.,$.,$.,_,8,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Ah , ah !",,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,NE,NE,_,3,punct,_,_,_,_,_,_,_
3,Ah,ah,NE,NE,_,0,root,_,_,_,_,_,_,_
4,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
5,ah,ah,NE,NE,_,3,conj,_,_,_,_,_,_,_
6,!,!,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Besuch eines Verehrers ! '',,,,,,,,,,,,,,
1,Besuch,besuch,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,eines,eines,ART,ART,_,3,det,_,_,_,_,_,_,_
3,Verehrers,verehrers,NOUN,NN,Number=Sing,1,det,_,_,_,_,_,_,_
4,!,!,$.,$.,_,1,punct,_,_,_,_,_,_,_
5,'','',VVFIN,VVFIN,_,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = , freute sich der Eitle als er den kleinen Prinzen sah .",,,,,,,,,,,,,,
1,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
2,freute,freute,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,sich,sich,PRF,PRF,_,2,dobj,_,_,_,_,_,_,_
4,der,der,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Eitle,eitle,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
6,als,als,KOUS,KOUS,_,11,mark,_,_,_,_,als,p.Time,p.Time
7,er,er,PPER,PPER,_,11,nsubj,_,_,_,_,_,_,_
8,den,den,ART,ART,_,10,det,_,_,_,_,_,_,_
9,kleinen,kleinen,ADJA,ADJA,_,10,amod,_,_,_,_,_,_,_
10,Prinzen,prinzen,NOUN,NN,Number=Sing,11,dobj,_,_,_,_,_,_,_
11,sah,sah,VVFIN,VVFIN,_,2,advcl,_,_,_,_,_,_,_
12,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Denn für eitle Menschen sind alle anderen Verehrer .,,,,,,,,,,,,,,
1,Denn,denn,KON,KON,_,8,nsubj,_,_,_,_,_,_,_
2,für,für,APPR,APPR,_,4,case,_,_,_,_,für,p.Experiencer,p.Experiencer
3,eitle,eitle,CARD,CARD,_,4,amod,_,_,_,_,_,_,_
4,Menschen,menschen,NOUN,NN,Number=Sing,1,nmod,_,_,_,_,_,_,_
5,sind,sind,VAFIN,VAFIN,_,8,cop,_,_,_,_,_,_,_
6,alle,alle,PIDAT,PIDAT,_,8,det,_,_,_,_,_,_,_
7,anderen,anderen,ADJA,ADJA,_,8,amod,_,_,_,_,_,_,_
8,Verehrer,verehrer,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
9,.,.,$.,$.,_,8,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Guten Tag '' , sagte der kleine Prinz .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,4,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,4,punct,_,_,_,_,_,_,_
3,Guten,guten,ADJA,ADJA,_,4,name,_,_,_,_,_,_,_
4,Tag,tag,NOUN,NN,Number=Sing,7,dep,_,_,_,_,_,_,_
5,'','',VVFIN,VVFIN,_,4,punct,_,_,_,_,_,_,_
6,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
7,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
8,der,der,ART,ART,_,10,det,_,_,_,_,_,_,_
9,kleine,kleine,ADJA,ADJA,_,10,amod,_,_,_,_,_,_,_
10,Prinz,prinz,NOUN,NN,Number=Sing,7,nsubj,_,_,_,_,_,_,_
11,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = `` Sie haben einen merkwürdigen Hut ! '',,,,,,,,,,,,,,
1,``,``,ADV,ADV,_,3,punct,_,_,_,_,_,_,_
2,Sie,sie,PPER,PPER,_,3,nsubj,_,_,_,_,_,_,_
3,haben,haben,VAFIN,VAFIN,_,0,root,_,_,_,_,_,_,_
4,einen,einen,ART,ART,_,6,det,_,_,_,_,_,_,_
5,merkwürdigen,merkwürdigen,ADJA,ADJA,_,6,amod,_,_,_,_,_,_,_
6,Hut,hut,NOUN,NN,Number=Sing,3,dobj,_,_,_,_,_,_,_
7,!,!,$.,$.,_,3,punct,_,_,_,_,_,_,_
8,'','',VVPP,VVPP,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Der ist zu dem Grüßen '' , sagte der Eitle .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,10,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,10,punct,_,_,_,_,_,_,_
3,Der,der,PDS,PDS,_,10,nsubj,_,_,_,_,_,_,_
4,ist,ist,VAFIN,VAFIN,_,10,cop,_,_,_,_,_,_,_
5,zu,zu,APPR,APPR,_,7,case,_,_,_,_,zu,p.Purpose,p.Purpose
6,dem,dem,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Grüßen,grüßen,NOUN,NN,Number=Sing,10,nmod,_,_,_,_,_,_,_
8,'','',VVPP,VVPP,_,7,punct,_,_,_,_,_,_,_
9,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
10,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
11,der,der,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Eitle,eitle,NOUN,NN,Number=Sing,10,det,_,_,_,_,_,_,_
13,.,.,$.,$.,_,10,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = `` Damit ich zurück grüßen kann , wenn jemand mich anhimmelt ... Nur leider kommt hier nie jemand vorbei . ''",,,,,,,,,,,,,,
1,``,``,ADV,ADV,_,15,punct,_,_,_,_,_,_,_
2,Damit,damit,KOUS,KOUS,_,5,mark,_,_,_,_,damit,p.Explanation,p.Explanation
3,ich,ich,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
4,zurück,zurück,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,grüßen,grüßen,VVINF,VVINF,_,15,advcl,_,_,_,_,_,_,_
6,kann,kann,VMFIN,VMFIN,_,5,aux,_,_,_,_,_,_,_
7,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
8,wenn,wenn,KOUS,KOUS,_,11,mark,_,_,_,_,_,_,_
9,jemand,jemand,PIS,PIS,_,11,nsubj,_,_,_,_,_,_,_
10,mich,mich,PPER,PPER,_,11,dobj,_,_,_,_,_,_,_
11-1,an,anhimmelt,VVFIN,VVFIN,_,15,advcl,_,_,_,_,_,p.Goal,p.Goal
11-2,himmelt,anhimmelt,VVFIN,VVFIN,_,15,advcl,_,_,_,_,_,_,_
12,...,...,$[,$[,_,15,punct,_,_,_,_,_,_,_
13,Nur,nur,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
14,leider,leider,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
15,kommt,kommt,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
16,hier,hier,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
17,nie,nie,ADV,ADV,_,18,neg,_,_,_,_,_,_,_
18,jemand,jemand,PIS,PIS,_,15,nsubj,_,_,_,_,_,_,_
19,vorbei,vorbei,PTKVZ,PTKVZ,_,15,mark,_,_,_,_,_,_,_
20,.,.,$.,$.,_,15,punct,_,_,_,_,_,_,_
21,'','',ADJD,ADJD,_,15,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = - `` Ach so ? '',,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,ADJD,ADJD,_,3,punct,_,_,_,_,_,_,_
3,Ach,ach,ITJ,ITJ,_,0,root,_,_,_,_,_,_,_
4,so,so,ADV,ADV,_,3,advmod,_,_,_,_,_,_,_
5,?,?,$.,$.,_,3,punct,_,_,_,_,_,_,_
6,'','',VVFIN,VVFIN,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = , sagte der kleine Prinz , ohne recht zu verstehen .",,,,,,,,,,,,,,
1,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
2,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,der,der,ART,ART,_,5,det,_,_,_,_,_,_,_
4,kleine,kleine,ADJA,ADJA,_,5,amod,_,_,_,_,_,_,_
5,Prinz,prinz,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
6,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
7,ohne,ohne,KOUI,KOUI,_,10,mark,_,_,_,_,ohne,p.Manner,p.Manner
8,recht,recht,ADJD,ADJD,_,10,advmod,_,_,_,_,_,_,_
9,zu,zu,PTKZU,PTKZU,_,10,aux,_,_,_,_,_,_,_
10,verstehen,verstehen,VVINF,VVINF,_,2,advcl,_,_,_,_,_,_,_
11,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Schlag mal mit der einen Hand auf die andere '' , riet ihm der Eitle .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,ADJA,ADJA,_,3,punct,_,_,_,_,_,_,_
3,Schlag,schlag,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
4,mal,mal,ADV,ADV,_,3,advmod,_,_,_,_,_,_,_
5,mit,mit,APPR,APPR,_,8,case,_,_,_,_,mit,p.Instrument,p.Instrument
6,der,der,ART,ART,_,8,det,_,_,_,_,_,_,_
7,einen,einen,ART,ART,_,8,det,_,_,_,_,_,_,_
8,Hand,hand,NOUN,NN,Number=Sing,4,nmod,_,_,_,_,_,_,_
9,auf,auf,APPR,APPR,_,11,case,_,_,_,_,auf,p.Goal,p.Locus
10,die,die,ART,ART,_,11,det,_,_,_,_,_,_,_
11,andere,andere,ADJA,ADJA,_,8,nmod,_,_,_,_,_,_,_
12,'','',NOUN,NN,Number=Sing,11,punct,_,_,_,_,_,_,_
13,",",",","$,","$,",_,11,punct,_,_,_,_,_,_,_
14,riet,riet,VVFIN,VVFIN,_,11,conj,_,_,_,_,_,_,_
15,ihm,ihm,PPER,PPER,_,14,iobj,_,_,_,_,ihm,p.Beneficiary,p.Co-Agent
16,der,der,ART,ART,_,17,det,_,_,_,_,_,_,_
17,Eitle,eitle,NOUN,NN,Number=Sing,14,iobj,_,_,_,_,_,_,_
18,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Der kleine Prinz schlug mit der einen auf die andere Hand .,,,,,,,,,,,,,,
1,Der,der,ART,ART,_,3,det,_,_,_,_,_,_,_
2,kleine,kleine,ADJA,ADJA,_,3,amod,_,_,_,_,_,_,_
3,Prinz,prinz,NOUN,NN,Number=Sing,4,nsubj,_,_,_,_,_,_,_
4,schlug,schlug,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
5,mit,mit,APPR,APPR,_,7,case,_,_,_,_,mit,p.Instrument,p.Instrument
6,der,der,ART,ART,_,7,det,_,_,_,_,_,_,_
7,einen,einen,ADJA,ADJA,_,4,nmod,_,_,_,_,_,_,_
8,auf,auf,APPR,APPR,_,11,case,_,_,_,_,auf,p.Configuration,p.Locus
9,die,die,ART,ART,_,11,det,_,_,_,_,_,_,_
10,andere,andere,ADJA,ADJA,_,11,amod,_,_,_,_,_,_,_
11,Hand,hand,NOUN,NN,Number=Sing,4,nmod,_,_,_,_,_,_,_
12,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Der Eitle grüßte in aller Bescheidenheit , indem er den Hut zog .",,,,,,,,,,,,,,
1,Der,der,ART,ART,_,2,det,_,_,_,_,_,_,_
2,Eitle,eitle,NOUN,NN,Number=Sing,3,nsubj,_,_,_,_,_,_,_
3,grüßte,grüßte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
4,in,in,APPR,APPR,_,6,case,_,_,_,_,in,p.Manner,p.Manner
5,aller,aller,PIDAT,PIDAT,_,6,det,_,_,_,_,_,_,_
6,Bescheidenheit,bescheidenheit,NOUN,NN,Number=Sing,3,nmod,_,_,_,_,_,_,_
7,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
8,indem,indem,KOUS,KOUS,_,12,mark,_,_,_,_,_,_,_
9,er,er,PPER,PPER,_,12,nsubj,_,_,_,_,_,_,_
10,den,den,ART,ART,_,11,det,_,_,_,_,_,_,_
11,Hut,hut,NOUN,NN,Number=Sing,12,dobj,_,_,_,_,_,_,_
12,zog,zog,VVFIN,VVFIN,_,3,advcl,_,_,_,_,_,_,_
13,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Das ist immerhin witziger als der Besuch bei dem König '' , sagte der kleine Prinz zu sich selbst .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,6,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,6,punct,_,_,_,_,_,_,_
3,Das,das,PDS,PDS,_,6,nsubj,_,_,_,_,_,_,_
4,ist,ist,VAFIN,VAFIN,_,6,cop,_,_,_,_,_,_,_
5,immerhin,immerhin,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
6,witziger,witziger,ADV,ADV,_,15,advcl,_,_,_,_,_,_,_
7,als,als,KOKOM,KOKOM,_,9,case,_,_,_,_,als,p.ComparisonRef,p.ComparisonRef
8,der,der,ART,ART,_,9,det,_,_,_,_,_,_,_
9,Besuch,besuch,NOUN,NN,Number=Sing,6,nmod,_,_,_,_,_,_,_
10,bei,bei,APPR,APPR,_,12,case,_,_,_,_,bei,p.Locus,p.Goal
11,dem,dem,ART,ART,_,12,det,_,_,_,_,_,_,_
12,König,könig,NOUN,NN,Number=Sing,9,nmod,_,_,_,_,_,_,_
13,'','',VVPP,VVPP,_,12,punct,_,_,_,_,_,_,_
14,",",",","$,","$,",_,6,punct,_,_,_,_,_,_,_
15,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
16,der,der,ART,ART,_,18,det,_,_,_,_,_,_,_
17,kleine,kleine,ADJA,ADJA,_,18,amod,_,_,_,_,_,_,_
18,Prinz,prinz,NOUN,NN,Number=Sing,15,nsubj,_,_,_,_,_,_,_
19,zu,zu,APPR,APPR,_,20,case,_,_,_,_,zu,p.Stimulus,p.Goal
20,sich,sich,PRF,PRF,_,15,nmod,_,_,_,_,_,_,_
21,selbst,selbst,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
22,.,.,$.,$.,_,15,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Wieder schlug er die Hände zusammen .,,,,,,,,,,,,,,
1,Wieder,wieder,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,schlug,schlug,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,die,die,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Hände,hände,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
6,zusammen,zusammen,PTKVZ,PTKVZ,_,2,mark,_,_,_,_,_,_,_
7,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Wieder zog der Eitle zu dem Gruß seinen Hut .,,,,,,,,,,,,,,
1,Wieder,wieder,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,zog,zog,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,der,der,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Eitle,eitle,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
5,zu,zu,APPR,APPR,_,7,case,_,_,_,_,zu,p.Purpose,p.Purpose
6,dem,dem,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Gruß,gruß,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
8,seinen,seinen,PPOSAT,PPOSAT,_,9,det,_,_,_,_,seinen,p.Possessor,p.Possessor
9,Hut,hut,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
